position,substitute,match_id,player.name,player.id,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goalAssist,statistics.accurateOwnHalfPasses,statistics.totalOwnHalfPasses,statistics.accurateOppositionHalfPasses,statistics.totalOppositionHalfPasses,statistics.ballRecovery,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedAssists,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalShots,statistics.goalsPrevented,statistics.totalCross,statistics.duelWon,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.hitWoodwork,statistics.outfielderBlock,statistics.interceptionWon,statistics.wasFouled,statistics.totalOffside,statistics.expectedGoals,statistics.expectedGoalsOnTarget,statistics.totalClearance,statistics.keyPass,statistics.aerialLost,statistics.duelLost,statistics.challengeLost,statistics.errorLeadToAGoal,statistics.unsuccessfulTouch,statistics.aerialWon,statistics.fouls,statistics.totalContest,statistics.wonContest,statistics.dispossessed,statistics.blockedScoringAttempt,statistics.totalTackle,statistics.wonTackle,statistics.accurateCross,statistics.bigChanceCreated,statistics.goodHighClaim,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.errorLeadToAShot,statistics.goals,statistics.crossNotClaimed,statistics.punches,statistics.clearanceOffLine,statistics.penaltyWon,statistics.penaltyConceded,statistics.penaltyFaced,statistics.lastManTackle,statistics.penaltyMiss,statistics.penaltySave,statistics.ownGoals
M,False,12437485,Viktor Tsygankov,319735,33.0,24.0,,,0,10.0,11.0,15.0,29.0,4.0,,,90,57.0,7.6,18.0,0.052826,7.6,7.1,4,,7.0,5.0,,,2.0,,1.0,1.0,1.0,,0.1701,0.3104,,1.0,2.0,4.0,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,
M,False,12437485,Portu,218616,20.0,17.0,1.0,,0,8.0,8.0,9.0,12.0,,,,63,25.0,6.6,6.0,0.0237493,6.6,6.5,1,,,1.0,,1.0,,,,,,1.0,0.0689,,,1.0,,2.0,,,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437485,Yáser Asprilla,1092769,26.0,25.0,2.0,1.0,0,11.0,11.0,14.0,16.0,4.0,,,71,38.0,6.8,5.0,0.0220547,6.8,7.1,2,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,0.3336,0.3171,,,,2.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
F,False,12437485,Abel Ruíz,826013,15.0,14.0,,,0,3.0,3.0,11.0,12.0,1.0,,,71,17.0,6.9,1.0,0.0501023,6.9,6.7,0,,,3.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
D,True,12437485,Alejandro Francés,1002347,22.0,19.0,1.0,1.0,0,6.0,6.0,13.0,17.0,2.0,,,45,30.0,7.1,4.0,0.00671003,7.1,7.0,0,,1.0,3.0,,,,,,,,,,,,1.0,1.0,3.0,1.0,,,,1.0,,,,,3.0,2.0,,1.0,,,,,,,,,,,,,,,
M,True,12437485,Iván Martín,973699,6.0,5.0,,,0,,,5.0,6.0,,,,27,10.0,6.8,2.0,0.0170217,6.8,6.7,0,,,3.0,,,,,,,,,,,,,1.0,2.0,,,1.0,,1.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
F,True,12437485,Cristhian Stuani,32048,3.0,2.0,,,0,2.0,2.0,,1.0,,,,19,6.0,7.3,1.0,1.555e-05,7.3,7.1,1,,,2.0,,,1.0,,,,,,0.5705,0.9841,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
F,True,12437485,Arnaut Danjuma,827064,6.0,5.0,1.0,,0,3.0,3.0,2.0,3.0,2.0,,,19,8.0,6.4,3.0,0.0005972,6.4,6.3,0,,,,,,,,,,,,,,,,,3.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,
M,True,12437485,Jhon Solís,1106573,,,,,0,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
G,False,12437498,Álex Remiro,791773,36.0,28.0,17.0,9.0,0,24.0,25.0,4.0,11.0,5.0,1.0,1.0,90,38.0,6.7,8.0,0.00120817,6.7,6.6,0,-0.2622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
