position,substitute,match_id,player.name,player.id,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goalAssist,statistics.accurateOwnHalfPasses,statistics.totalOwnHalfPasses,statistics.accurateOppositionHalfPasses,statistics.totalOppositionHalfPasses,statistics.ballRecovery,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedAssists,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalShots,statistics.goalsPrevented,statistics.totalCross,statistics.duelWon,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.hitWoodwork,statistics.outfielderBlock,statistics.interceptionWon,statistics.wasFouled,statistics.totalOffside,statistics.expectedGoals,statistics.expectedGoalsOnTarget,statistics.totalClearance,statistics.keyPass,statistics.aerialLost,statistics.duelLost,statistics.challengeLost,statistics.errorLeadToAGoal,statistics.unsuccessfulTouch,statistics.aerialWon,statistics.fouls,statistics.totalContest,statistics.wonContest,statistics.dispossessed,statistics.blockedScoringAttempt,statistics.totalTackle,statistics.wonTackle,statistics.accurateCross,statistics.bigChanceCreated,statistics.goodHighClaim,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.errorLeadToAShot,statistics.goals,statistics.crossNotClaimed,statistics.punches,statistics.clearanceOffLine,statistics.penaltyWon,statistics.penaltyConceded,statistics.penaltyFaced,statistics.lastManTackle,statistics.penaltyMiss,statistics.penaltySave,statistics.ownGoals
D,False,12437578,Javi López,945404,45.0,38.0,3.0,,0,14.0,17.0,24.0,30.0,4.0,,,81,62.0,5.8,11.0,0.0167675,5.8,5.9,0,,2.0,2.0,,,,,,2.0,,,,,2.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
M,False,12437578,Martín Zubimendi,966837,52.0,44.0,4.0,2.0,0,19.0,23.0,25.0,29.0,2.0,,,90,63.0,6.9,11.0,0.0234879,6.9,7.0,1,,,3.0,,1.0,,,,1.0,,,0.0447,,1.0,2.0,,,,,3.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
M,False,12437578,Pablo Marín,1139409,19.0,18.0,,,0,9.0,9.0,9.0,10.0,2.0,,,65,34.0,7.1,8.0,0.00780713,7.1,7.3,3,,,3.0,,1.0,1.0,,,,1.0,,0.2682,0.6911,,,2.0,7.0,1.0,,3.0,,,3.0,,1.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,
M,False,12437578,Takefusa Kubo,880218,35.0,27.0,,,0,7.0,9.0,20.0,26.0,1.0,,,90,56.0,7.1,16.0,0.156063,7.1,7.1,2,,,5.0,,,2.0,,,2.0,3.0,,0.0705,0.2118,,,2.0,10.0,1.0,,1.0,,1.0,6.0,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,
M,False,12437578,Brais Méndez,845385,35.0,30.0,1.0,1.0,1,9.0,10.0,24.0,32.0,3.0,,,58,56.0,7.0,15.0,0.333568,7.0,6.7,1,,7.0,6.0,,,,,,,2.0,,0.028,,,3.0,1.0,8.0,1.0,,2.0,1.0,2.0,5.0,1.0,,1.0,2.0,,3.0,,,,,,,,,,,,,,,,
M,False,12437578,Ander Barrenetxea,966862,18.0,16.0,,,0,4.0,5.0,13.0,17.0,3.0,,,58,35.0,6.8,9.0,0.281334,6.8,6.6,1,,4.0,3.0,,,1.0,,,,,,0.0182,0.0813,1.0,1.0,2.0,8.0,1.0,,1.0,,2.0,2.0,1.0,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,
F,False,12437578,Mikel Oyarzabal,823622,18.0,14.0,1.0,,1,3.0,3.0,11.0,15.0,5.0,,,90,35.0,8.0,9.0,0.00897971,8.0,7.4,3,,,5.0,1.0,,3.0,,,,2.0,,1.3062,1.2194,1.0,1.0,1.0,8.0,4.0,,2.0,1.0,,2.0,1.0,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
M,True,12437578,Luka Sučić,949156,10.0,9.0,1.0,1.0,0,6.0,6.0,3.0,4.0,2.0,,,32,12.0,6.3,3.0,0.00113186,6.3,6.4,0,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
M,True,12437578,Sergio Gómez,855835,11.0,9.0,,,0,4.0,5.0,7.0,9.0,3.0,,,32,19.0,6.8,3.0,0.0440095,6.8,6.8,0,,3.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
D,True,12437578,Jon Aramburu,1116388,7.0,7.0,,,0,5.0,5.0,2.0,3.0,1.0,,,25,16.0,6.6,3.0,0.0002207,6.6,6.6,0,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
M,True,12437578,Beñat Turrientes,980410,14.0,14.0,1.0,1.0,0,8.0,8.0,6.0,7.0,,,,25,26.0,6.9,4.0,0.00700794,6.9,6.7,2,,1.0,4.0,,1.0,1.0,,,,,,0.1151,,,,,3.0,,,1.0,,1.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,
F,True,12437578,Arkaitz Mariezkurrena,1526575,4.0,4.0,,,0,1.0,1.0,3.0,5.0,,,,9,9.0,7.4,3.0,0.0180705,7.4,7.4,1,,2.0,,,,1.0,,,,,,0.0618,0.2318,,,,3.0,,,,,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
G,False,12437578,Vladyslav Krapyvtsov,1521733,31.0,21.0,16.0,7.0,0,17.0,21.0,4.0,10.0,10.0,2.0,4.0,90,41.0,6.9,10.0,0.00167386,6.9,6.5,0,-0.5647,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,
D,False,12437578,Arnau Martínez,1084081,36.0,30.0,4.0,1.0,0,10.0,12.0,20.0,24.0,4.0,,,90,54.0,7.0,9.0,0.15134,7.0,6.5,0,,,7.0,,,,,,,1.0,,,,4.0,2.0,1.0,4.0,1.0,,,1.0,,1.0,,1.0,,5.0,3.0,,1.0,,,,,,,,,,,,,,,
D,False,12437578,Alejandro Francés,1002347,58.0,50.0,7.0,1.0,0,26.0,30.0,24.0,29.0,4.0,,,90,77.0,7.6,11.0,0.0196331,7.6,7.4,0,,1.0,4.0,,,,,2.0,1.0,,,,,8.0,1.0,1.0,5.0,2.0,,,1.0,1.0,2.0,1.0,,,2.0,,,,,,,,,,,2.0,,,,,,,
D,False,12437578,Ladislav Krejčí,856250,62.0,52.0,6.0,2.0,0,35.0,38.0,17.0,24.0,4.0,,,90,73.0,6.5,10.0,0.00898528,6.5,6.7,0,,,4.0,,,,,,2.0,1.0,,,,3.0,,,1.0,,,,,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,
D,False,12437578,Daley Blind,44864,58.0,52.0,6.0,5.0,0,31.0,34.0,21.0,25.0,4.0,,,90,85.0,6.9,9.0,0.0107004,6.9,6.9,0,,1.0,10.0,,,,,,3.0,2.0,,,,3.0,,,3.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,6.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437578,Yangel Herrera,839585,34.0,31.0,1.0,,0,14.0,16.0,17.0,20.0,5.0,,,86,56.0,6.7,10.0,0.00707265,6.7,6.6,1,,2.0,9.0,,1.0,,,1.0,2.0,3.0,1.0,0.0239,,4.0,,1.0,9.0,2.0,,2.0,2.0,3.0,2.0,1.0,2.0,,3.0,1.0,,,,,,1.0,,,,,,,,,,,
M,False,12437578,Jhon Solís,1106573,21.0,16.0,,,0,11.0,12.0,5.0,9.0,3.0,,,60,29.0,6.6,6.0,0.00355521,6.6,6.6,0,,,4.0,,,,,,,1.0,,,,,,1.0,2.0,,,,,1.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,
M,False,12437578,Viktor Tsygankov,319735,22.0,15.0,2.0,,1,4.0,5.0,11.0,18.0,2.0,,,87,35.0,7.2,11.0,0.00826862,7.2,7.0,1,,1.0,3.0,,1.0,,,,2.0,1.0,1.0,0.0948,,1.0,2.0,1.0,3.0,1.0,,1.0,1.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
M,False,12437578,Iván Martín,973699,19.0,18.0,,,0,11.0,12.0,7.0,7.0,4.0,,,60,30.0,6.8,2.0,0.00524113,6.8,7.4,3,,,4.0,1.0,1.0,2.0,,1.0,,,1.0,0.5145,0.7486,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437578,Yáser Asprilla,1092769,19.0,15.0,2.0,2.0,1,4.0,6.0,12.0,21.0,2.0,,,90,43.0,6.5,18.0,0.396242,6.5,6.3,2,,8.0,5.0,,,1.0,,,,,,0.0584,0.1535,,2.0,1.0,8.0,5.0,,5.0,1.0,1.0,2.0,1.0,,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,
F,False,12437578,Cristhian Stuani,32048,14.0,12.0,,,0,7.0,8.0,5.0,6.0,1.0,,,69,18.0,7.0,4.0,0.0129988,7.0,7.7,1,,,2.0,,,1.0,,,,1.0,2.0,0.585,0.6714,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
M,True,12437578,Arthur,794927,17.0,14.0,4.0,3.0,0,7.0,8.0,7.0,9.0,1.0,,,30,22.0,6.5,5.0,0.00667884,6.5,6.5,0,,,1.0,,,,,,,,,,,,,,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
F,True,12437578,Abel Ruíz,826013,7.0,6.0,,,0,2.0,2.0,4.0,5.0,,,,30,9.0,6.4,2.0,0.00291168,6.4,6.5,0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
F,True,12437578,Portu,218616,7.0,6.0,2.0,2.0,0,3.0,3.0,3.0,5.0,2.0,,,21,12.0,7.4,3.0,0.00109154,7.4,7.4,1,,1.0,1.0,,,1.0,,,,,,0.8732,0.9955,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
F,True,12437578,Arnaut Danjuma,827064,3.0,3.0,,,0,2.0,2.0,1.0,1.0,1.0,,,14,4.0,6.5,1.0,0.00908194,6.5,6.5,0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M,True,12437578,Oriol Romeu,69416,,,,,0,,,,,,,,13,3.0,6.4,,,6.4,6.4,0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
G,False,12437493,Jan Oblak,69768,18.0,17.0,4.0,3.0,0,15.0,15.0,2.0,3.0,14.0,3.0,6.0,90,40.0,8.3,1.0,0.00096805,8.3,7.3,0,0.7536,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,
D,False,12437493,Marcos Llorente,353138,46.0,41.0,,,0,25.0,28.0,16.0,20.0,7.0,,,90,63.0,6.7,9.0,0.012644,6.7,7.4,0,,2.0,2.0,,,,,,,,,,,2.0,,,2.0,2.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
D,False,12437493,Robin Le Normand,787751,42.0,38.0,2.0,1.0,0,33.0,34.0,5.0,8.0,8.0,,,90,52.0,7.5,4.0,0.00289446,7.5,7.6,2,,,1.0,,,2.0,,,1.0,1.0,,0.3086,0.7412,5.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
D,False,12437493,Clément Lenglet,580550,59.0,52.0,8.0,3.0,0,40.0,44.0,12.0,15.0,1.0,,,90,66.0,6.7,7.0,0.00419031,6.7,6.8,0,,,3.0,,,,,,1.0,,,,,2.0,1.0,1.0,3.0,1.0,,,,1.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,
D,False,12437493,Javi Galán,825133,33.0,26.0,3.0,1.0,0,14.0,17.0,13.0,19.0,5.0,,,90,54.0,6.8,14.0,0.0309286,6.8,6.5,0,,3.0,4.0,,,,,,1.0,1.0,,,,2.0,1.0,,5.0,,,1.0,,2.0,5.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
M,False,12437493,Giuliano Simeone,1099352,21.0,18.0,,,0,8.0,9.0,10.0,14.0,1.0,,,80,36.0,7.1,9.0,0.21171,7.1,7.1,1,,2.0,1.0,,1.0,,,1.0,2.0,1.0,,0.0336,,1.0,2.0,,5.0,,,,,3.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,
M,False,12437493,Rodrigo de Paul,249399,51.0,42.0,3.0,3.0,0,14.0,15.0,28.0,36.0,7.0,,,70,64.0,7.8,11.0,0.0535829,7.8,7.7,1,,,7.0,,,,,,1.0,2.0,,0.0204,,1.0,1.0,,2.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,
M,False,12437493,Koke,84539,72.0,67.0,3.0,2.0,0,38.0,38.0,30.0,36.0,9.0,,,90,89.0,6.8,10.0,0.180725,6.8,7.1,0,,2.0,1.0,,,,,,2.0,,,,,2.0,2.0,,6.0,2.0,,2.0,,2.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
M,False,12437493,Samuel Lino,874705,24.0,21.0,1.0,1.0,1,7.0,8.0,14.0,17.0,2.0,,,80,40.0,7.8,7.0,0.462832,7.8,7.9,1,,1.0,8.0,,,1.0,,,,2.0,,0.0366,0.0186,,2.0,,1.0,,,1.0,1.0,,3.0,2.0,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,
F,False,12437493,Alexander Sørloth,309078,14.0,10.0,,,0,5.0,7.0,5.0,7.0,1.0,,,70,22.0,5.7,5.0,0.0397257,5.7,6.5,6,,,2.0,4.0,3.0,3.0,,,,,1.0,1.6103,1.7087,1.0,,2.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
F,False,12437493,Julián Alvarez,944656,32.0,20.0,1.0,1.0,1,4.0,5.0,18.0,32.0,2.0,,,89,57.0,9.7,25.0,0.224002,9.7,10.0,4,,5.0,3.0,1.0,1.0,2.0,1.0,,,,,1.7128,1.5579,,4.0,,4.0,,,6.0,,,5.0,3.0,2.0,1.0,,,2.0,2.0,,,,,2.0,,,,,,,,,,
M,True,12437493,Conor Gallagher,904970,18.0,18.0,2.0,2.0,0,7.0,7.0,11.0,11.0,,,,20,26.0,6.8,2.0,0.00728669,6.8,6.7,1,,,3.0,,1.0,,,,1.0,1.0,,0.0628,,,,,4.0,1.0,,1.0,,2.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,
F,True,12437493,Antoine Griezmann,85859,22.0,17.0,,,1,7.0,9.0,10.0,13.0,4.0,,,20,27.0,6.9,5.0,0.709204,6.9,7.9,3,,,1.0,2.0,1.0,2.0,,,,,,0.9476,0.8383,,2.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
D,True,12437493,Nahuel Molina,831799,11.0,8.0,2.0,,0,6.0,8.0,2.0,4.0,,,,10,15.0,6.4,4.0,0.00493749,6.4,6.5,0,,1.0,1.0,,,,,,,,1.0,,,,,,2.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
F,True,12437493,Ángel Correa,316152,6.0,6.0,,,0,2.0,2.0,4.0,5.0,1.0,,,10,11.0,8.0,3.0,0.316977,8.0,8.4,1,,1.0,1.0,,,1.0,,,,,,0.1254,0.9173,,2.0,,1.0,,,,,,2.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,
D,True,12437493,Axel Witsel,35612,4.0,3.0,,,0,3.0,4.0,,,,,,1,5.0,,1.0,4.66e-06,,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,False,12437493,Adrián,50539,26.0,20.0,11.0,5.0,0,20.0,21.0,,5.0,10.0,6.0,7.0,90,49.0,6.8,7.0,0.00017777,6.8,7.8,0,1.7821,,,,,,,,,,,,,5.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,
D,False,12437493,Aitor Ruibal,893062,36.0,33.0,1.0,,0,14.0,14.0,19.0,23.0,2.0,,,82,56.0,6.0,8.0,0.0198939,6.0,5.8,1,,1.0,3.0,,1.0,,,,1.0,,,0.1972,,2.0,,,8.0,5.0,,1.0,,1.0,3.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
D,False,12437493,Natan,1015287,50.0,46.0,4.0,2.0,0,27.0,29.0,19.0,21.0,4.0,,,90,60.0,5.7,6.0,0.00802438,5.7,5.9,0,,,2.0,,,,,1.0,,,,,,5.0,,,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
D,False,12437493,Nobel Mendy,1458073,41.0,37.0,8.0,4.0,0,23.0,23.0,14.0,18.0,6.0,,,90,59.0,6.5,5.0,0.00893669,6.5,6.0,0,,,2.0,,,,,,3.0,1.0,,,,9.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
D,False,12437493,Romain Perraud,827519,42.0,38.0,2.0,,0,16.0,18.0,23.0,28.0,7.0,,,90,59.0,6.5,9.0,0.0488479,6.5,5.8,3,,4.0,2.0,,1.0,1.0,,1.0,,1.0,,0.0743,0.0352,1.0,,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
M,False,12437493,Johnny Cardoso,990169,67.0,65.0,4.0,4.0,0,28.0,28.0,37.0,39.0,5.0,,,90,82.0,7.0,4.0,0.0327663,7.0,7.2,0,,,4.0,,,,,,2.0,1.0,,,,4.0,1.0,1.0,4.0,2.0,,1.0,,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437493,Sergi Altimira,1137814,39.0,37.0,3.0,3.0,0,23.0,23.0,14.0,16.0,3.0,,,45,46.0,6.7,6.0,0.0643985,6.7,6.7,0,,,3.0,,,,,,,,,,,,1.0,1.0,6.0,1.0,,2.0,,2.0,,,2.0,,3.0,3.0,,,,,,,,,,,,,,,,,
M,False,12437493,Pablo Fornals,816763,57.0,47.0,5.0,3.0,0,13.0,15.0,34.0,46.0,5.0,,,90,74.0,7.5,16.0,0.0751962,7.5,7.7,1,,4.0,5.0,,,1.0,,,1.0,2.0,1.0,0.1213,0.3422,,,1.0,3.0,1.0,,1.0,,,,,1.0,,3.0,2.0,,,,,,,1.0,,,,,,,,,,
M,False,12437493,Giovani Lo Celso,798835,70.0,63.0,3.0,3.0,1,19.0,19.0,44.0,53.0,5.0,,,82,81.0,7.8,11.0,0.511554,7.8,7.2,2,,2.0,4.0,,,2.0,,,,2.0,,0.1119,0.7961,,3.0,,2.0,,,,,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
M,False,12437493,Abdessamad Ezzalzouli,1011375,23.0,19.0,1.0,,0,6.0,7.0,13.0,17.0,3.0,,,45,28.0,6.4,7.0,0.0124762,6.4,6.2,0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,3.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
F,False,12437493,Cédric Bakambu,115665,10.0,7.0,,,0,2.0,2.0,5.0,8.0,2.0,,,45,18.0,6.4,9.0,0.00294821,6.4,6.2,1,,,,,,1.0,,,,,,0.0908,0.0592,,,,3.0,,,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
F,True,12437493,Antony,958380,32.0,28.0,,,0,2.0,2.0,26.0,30.0,2.0,,,45,45.0,6.9,11.0,0.0879477,6.9,6.5,1,,,2.0,,,1.0,,,,2.0,,0.0255,0.0712,,1.0,,3.0,,,4.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
M,True,12437493,Isco,103417,47.0,39.0,3.0,2.0,0,6.0,8.0,35.0,42.0,2.0,,,45,62.0,7.4,12.0,0.136606,7.4,6.8,1,,3.0,6.0,,,1.0,,,,3.0,,0.0496,0.4498,,3.0,,2.0,,,1.0,,,4.0,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
F,True,12437493,Cucho Hernández,887055,15.0,12.0,1.0,1.0,0,5.0,6.0,7.0,9.0,2.0,,,45,21.0,7.1,4.0,0.0240422,7.1,6.7,1,,,3.0,,1.0,,1.0,,,,,0.2294,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
F,True,12437493,Angel Ortiz,1152139,14.0,13.0,2.0,1.0,0,5.0,5.0,8.0,10.0,2.0,,,8,22.0,6.8,3.0,0.00218181,6.8,6.8,1,,1.0,2.0,,1.0,,,,,,,0.0289,,,,,1.0,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,
M,True,12437493,William Carvalho,137978,24.0,23.0,2.0,2.0,0,6.0,6.0,17.0,18.0,,,,8,26.0,6.7,2.0,0.014921,6.7,6.7,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,False,12437489,Marc-André ter Stegen,88625,20.0,19.0,5.0,4.0,0,19.0,20.0,,,9.0,,,90,24.0,6.2,1.0,0.00022,6.2,5.6,0,-1.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
D,False,12437489,Eric García,876214,60.0,57.0,1.0,1.0,1,12.0,13.0,46.0,49.0,1.0,,,74,81.0,7.5,4.0,0.448687,7.5,6.7,1,,2.0,2.0,,,1.0,,,3.0,,,0.0118,0.1259,2.0,2.0,4.0,6.0,2.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
D,False,12437489,Pau Cubarsí,1402913,56.0,55.0,1.0,1.0,0,28.0,29.0,27.0,27.0,7.0,,,90,67.0,6.8,2.0,0.0177407,6.8,6.8,0,,,4.0,,,,,,1.0,,,,,1.0,,3.0,4.0,1.0,,,1.0,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,
D,False,12437489,Iñigo Martínez,173883,64.0,61.0,7.0,5.0,0,28.0,29.0,33.0,36.0,8.0,,,90,74.0,6.8,5.0,0.0293404,6.8,6.8,0,,1.0,4.0,,,,,,,1.0,,,,4.0,,,2.0,,,1.0,1.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
D,False,12437489,Gerard Martín,1094827,31.0,29.0,,,0,6.0,6.0,23.0,26.0,1.0,,,45,40.0,6.6,5.0,0.0204218,6.6,6.3,1,,1.0,2.0,,,,,,1.0,,,0.053,,,,,1.0,,,1.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
M,False,12437489,Pablo Gavi,1103693,76.0,72.0,2.0,2.0,0,13.0,14.0,59.0,62.0,5.0,,,85,86.0,6.9,6.0,0.0663957,6.9,6.7,1,,,4.0,,,,,,,1.0,,0.0312,,1.0,,,7.0,1.0,,1.0,,5.0,,,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,
M,False,12437489,Pedri,992587,64.0,59.0,7.0,6.0,0,5.0,5.0,54.0,59.0,3.0,,,45,69.0,7.6,5.0,0.165516,7.6,7.5,0,,,2.0,,,,,,,,,,,,4.0,,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
M,False,12437489,Lamine Yamal,1402912,74.0,61.0,6.0,3.0,0,4.0,4.0,57.0,78.0,4.0,,,90,116.0,8.3,34.0,0.129908,8.3,7.9,9,,8.0,8.0,,1.0,4.0,1.0,,1.0,1.0,,0.2678,0.5837,,2.0,,10.0,,,2.0,,1.0,14.0,7.0,2.0,4.0,,,,,,,,,1.0,,,,,,,,,,
M,False,12437489,Fermín López,1153270,53.0,46.0,5.0,3.0,0,8.0,9.0,39.0,51.0,3.0,,,90,79.0,7.8,20.0,0.195008,7.8,7.7,6,,7.0,1.0,1.0,1.0,3.0,,,1.0,,,0.6312,0.4204,,3.0,,2.0,,,3.0,,,3.0,1.0,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,
M,False,12437489,Raphinha,831005,50.0,46.0,3.0,,0,6.0,7.0,41.0,49.0,4.0,,,90,72.0,7.4,11.0,0.371995,7.4,6.6,5,,6.0,5.0,,4.0,,,,,2.0,1.0,0.1641,,,1.0,1.0,4.0,1.0,,1.0,,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
F,False,12437489,Robert Lewandowski,41789,8.0,6.0,,,0,,,6.0,8.0,1.0,,,74,21.0,6.6,7.0,0.00537687,6.6,6.4,1,,,5.0,1.0,,1.0,,,,2.0,1.0,0.2304,0.6293,2.0,,,3.0,,,3.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
D,True,12437489,Alejandro Balde,997035,36.0,33.0,,,0,8.0,8.0,25.0,29.0,2.0,,,45,41.0,6.6,4.0,0.0417663,6.6,6.1,0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
M,True,12437489,Frenkie de Jong,795222,69.0,64.0,6.0,6.0,0,6.0,7.0,58.0,63.0,3.0,,,45,71.0,7.3,6.0,0.126394,7.3,7.5,0,,1.0,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,True,12437489,Hector Fort,1402908,15.0,14.0,,,0,3.0,3.0,11.0,13.0,2.0,,,16,21.0,6.4,2.0,0.0190438,6.4,6.2,0,,1.0,,,,,,,,,,,,,1.0,,3.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
F,True,12437489,Pau Víctor,1031567,4.0,4.0,,,0,,,4.0,5.0,,,,16,6.0,6.7,1.0,0.0253651,6.7,6.7,0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
M,True,12437489,Dani Olmo,789071,7.0,6.0,1.0,,0,1.0,1.0,5.0,6.0,,,,11,10.0,6.2,3.0,0.00579339,6.2,6.5,0,,,1.0,,,,,,,1.0,,,,,,,3.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
G,False,12437489,Luiz Júnior,1066603,25.0,16.0,14.0,5.0,0,12.0,15.0,4.0,10.0,17.0,4.0,7.0,90,53.0,8.2,9.0,0.00141575,8.2,7.8,0,-0.2406,,1.0,,,,,,,,,,,6.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,6.0,,,,,,,,
D,False,12437489,Pau Navarro,1525863,19.0,17.0,1.0,1.0,0,17.0,19.0,,,1.0,,,64,33.0,6.2,4.0,0.00023239,6.2,6.3,0,,,3.0,,,,,,1.0,,,,,3.0,,,5.0,2.0,,1.0,1.0,2.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,
D,False,12437489,Juan Foyth,873189,42.0,36.0,7.0,3.0,0,35.0,39.0,1.0,3.0,4.0,,,90,57.0,6.9,8.0,0.0043349,6.9,6.8,0,,,3.0,,,,,3.0,,2.0,,,,7.0,,1.0,2.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
D,False,12437489,Logan Costa,911853,27.0,23.0,7.0,5.0,0,21.0,23.0,2.0,4.0,2.0,,,90,39.0,6.8,4.0,0.00097258,6.8,6.6,0,,,1.0,,,,,1.0,3.0,,,,,5.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
